id,key,value
16093520,highway,motorway
16093520,maxspeed,110
16093520,name,Rodovia Rio-Teresópolis
16093520,oneway,yes
16093520,ref,BR-116
16093520,surface,paved
16093540,highway,motorway
16093540,maxspeed,110
16093540,name,Rodovia Santos Dumont
16093540,oneway,yes
16093540,ref,BR-116
16093540,surface,paved
16093616,highway,motorway_link
16093616,oneway,yes
16093616,ref,BR-116
16093616,surface,paved
16109882,highway,tertiary
16109882,lanes,2
16109882,maxspeed,40
16109882,name,Rua Bom Jardim
16109882,surface,cobblestone
16116429,created_by,Potlatch 0.5d
16116429,highway,motorway_link
16116429,oneway,yes
16116429,ref,BR-116
16116500,highway,motorway_link
16116500,oneway,yes
16116500,ref,BR-116
16116654,created_by,Potlatch 0.5d
16116654,highway,motorway_link
16116654,oneway,yes
16116654,ref,BR-116
16116695,created_by,Potlatch 0.5d
16116695,highway,motorway_link
16116695,oneway,yes
16116695,ref,BR-116
16116769,highway,motorway_link
16116769,oneway,yes
16116769,ref,BR-116
16116816,created_by,Potlatch 0.5d
16116816,highway,motorway_link
16116816,oneway,yes
16116816,ref,BR-116
16116959,created_by,Potlatch 0.5d
16116959,highway,motorway_link
16116959,oneway,yes
16116959,ref,BR-116
16116960,highway,motorway_link
16116960,oneway,yes
16116960,ref,BR-116
16117038,created_by,Potlatch 0.5d
16117038,highway,motorway_link
16117038,oneway,yes
16117038,ref,BR-116
16135695,highway,motorway
16135695,lanes,3
16135695,lit,yes
16135695,maxspeed,80
16135695,name,Avenida do Contorno
16135695,oneway,yes
16135695,ref,BR-101
16135695,surface,asphalt
16135719,destination,Ilha da Conceição
16135719,highway,motorway_link
16135719,oneway,yes
16135719,surface,paved
16136083,highway,motorway_link
16136083,lanes,2
16136083,name,Rodovia Governador Mário Covas
16136083,oneway,yes
16136083,ref,BR-101
16136083,surface,paved
16136911,highway,secondary
16136911,oneway,yes
16136911,surface,paved
16136998,bridge,viaduct
16136998,highway,motorway_link
16136998,layer,1
16136998,oneway,yes
16136998,surface,paved
16137169,highway,secondary_link
16137169,junction,jughandle
16137169,oneway,yes
16137169,surface,paved
16137613,highway,motorway
16137613,maxheight,6.0
16137613,maxspeed,60
16137613,name,Avenida Governador Roberto Silveira
16137613,oneway,yes
16137613,ref,BR-101
16137613,surface,paved
16137933,alt_name,Ponte Rio-Niterói
16137933,bicycle,no
16137933,description,Faixas 1 à 8
16137933,destination,São Gonçalo
16137933,foot,no
16137933,highway,motorway
16137933,horse,no
16137933,maxspeed,80
16137933,name,Ponte Presidente Costa e Silva
16137933,oneway,yes
16137933,ref,BR-101
16137933,surface,paved
16138315,highway,trunk
16138315,maxspeed,60
16138315,name,Alameda São Boaventura
16138315,oneway,yes
16138315,ref,RJ-104
16138315,surface,asphalt
16139309,destination,Ponte - Rio de Janeiro
16139309,highway,trunk
16139309,maxspeed,60
16139309,name,Alameda São Boaventura
16139309,oneway,yes
16139309,ref,RJ-104
16139309,surface,paved
16139511,destination,Fonseca Alcântara
16139511,highway,trunk
16139511,maxspeed,60
16139511,name,Alameda São Boaventura
16139511,oneway,yes
16139511,ref,RJ-104
16139511,surface,paved
16139861,access,designated
16139861,bus,yes
16139861,highway,service
16139861,oneway,yes
16140308,highway,motorway_link
16140308,lanes,2
16140308,maxspeed,60
16140308,oneway,yes
16140308,surface,paved
16140419,highway,motorway_link
16140419,oneway,yes
16140419,surface,paved
16140674,alt_name,Ponte Rio-Niterói
16140674,bicycle,no
16140674,cycleway,no
16140674,description,Faixas 9 à 14
16140674,destination,Niterói
16140674,foot,no
16140674,highway,motorway
16140674,horse,no
16140674,maxspeed,80
16140674,name,Ponte Presidente Costa e Silva
16140674,oneway,yes
16140674,sidewalk,none
16140674,surface,paved
16141221,highway,primary
16141221,maxspeed,60
16141221,name,Avenida Jansen de Melo
16141221,oneway,yes
16141221,surface,paved
16141448,destination,Rio de Janeiro
16141448,highway,motorway_link
16141448,lit,yes
16141448,oneway,yes
16141448,surface,asphalt
16141549,highway,motorway_link
16141549,maxspeed,60
16141549,oneway,yes
16141549,surface,paved
16141737,highway,secondary_link
16141737,oneway,yes
16141737,surface,paved
16141814,highway,secondary_link
16141814,oneway,yes
16141814,surface,paved
16225212,highway,motorway_link
16225212,oneway,yes
16225212,surface,paved
16225430,highway,secondary
16225430,name,Avenida 22 de Maio
16225430,oneway,no
16225510,highway,motorway_link
16225510,name,Marginal Rodovia Governador Mário Covas
16225510,oneway,yes
16225510,surface,paved
16226002,highway,motorway_link
16226002,name,Marginal Rodovia Governador Mário Covas
16226002,oneway,yes
16226002,surface,paved
16226055,highway,motorway_link
16226055,name,Marginal Rodovia Governador Mário Covas
16226055,oneway,yes
16226055,surface,paved
16226092,highway,motorway_link
16226092,name,Marginal Rodovia Governador Mário Covas
16226092,oneway,yes
16226092,surface,paved
16714294,created_by,Potlatch 0.5d
16714294,highway,motorway_link
16714294,oneway,yes
16716097,highway,motorway_link
16716097,name,Rodovia Governador Mário Covas - Pista lateral
16716097,oneway,yes
16716097,surface,paved
16716225,highway,trunk
16716225,lanes,2
16716225,maxspeed,60
16716225,name,Rodovia Niterói-Manilha
16716225,oneway,yes
16716225,ref,RJ-104
16716225,surface,asphalt
16725479,highway,trunk
16725479,lanes,2
16725479,lit,yes
16725479,maxspeed,60
16725479,oneway,yes
16725479,ref,RJ-104
16725479,surface,asphalt
16771585,highway,trunk
16771585,maxspeed,60
16771585,name,Alameda São Boaventura
16771585,oneway,yes
16771585,ref,RJ-104
16771585,surface,asphalt
16772838,highway,tertiary
16772838,maxspeed,60
16772838,name,Rua Visconde de Sepetiba
16772838,oneway,yes
16773781,highway,tertiary
16773781,name,Rua Doutor Siqueira
16773857,highway,tertiary
16773857,name,Rua Professor José Leonardo
16775996,highway,trunk_link
16775996,oneway,yes
16775996,surface,paved
16776221,highway,trunk_link
16776221,name,Marginal Rodovia Niterói - Manilha
16776221,oneway,yes
16776221,ref,RJ-106
16776221,surface,paved
16776546,highway,trunk_link
16776546,name,Marginal Rodovia Niterói - Manilha
16776546,oneway,yes
16776546,surface,paved
16776663,highway,trunk_link
16776663,name,Marginal Rodovia Niterói - Manilha
16776663,oneway,yes
16776663,surface,paved
16776860,highway,residential
16776860,name,Avenida Doutor Eugênio Borges
16776860,oneway,no
16776860,surface,paved
16776987,highway,trunk
16776987,name,Rodovia Niterói-Manilha
16776987,oneway,yes
16776987,ref,RJ-104
16776987,surface,paved
16777012,highway,trunk
16777012,maxspeed,60
16777012,name,Rodovia Niterói-Manilha
16777012,oneway,yes
16777012,ref,RJ-104
16777012,surface,paved
17969515,highway,residential
17969515,name,Estrada José Almeida Amado
23954561,electrified,no
23954561,gauge,1000
23954561,layer,1
23954561,name,Estrada de Ferro Leopoldina - Linha do Litoral
23954561,railway,disused
23954561,usage,main
23954562,destination,Araruama
23954562,highway,motorway_link
23954562,lanes,2
23954562,name,Via Lagos
23954562,oneway,yes
23954562,operator,CCR
23954562,ref,RJ-124
23954562,surface,asphalt
24015088,electrified,no
24015088,gauge,1000
24015088,railway,disused
24015089,electrified,no
24015089,gauge,1000
24015089,name,Estrada de Ferro Leopoldina - Linha do Litoral
24015089,railway,disused
24015089,usage,main
24649671,highway,tertiary
24649671,name,Estrada Itacoatiara
24649671,oneway,no
24649673,highway,residential
24649673,name,Rua dos Cravos
24649673,oneway,no
24649676,highway,tertiary
24649676,name,Avenida Beira Mar
24649676,oneway,no
24649677,highway,tertiary
24649677,name,Estrada Francisco da Cruz Nunes
24649677,oneway,yes
27294255,highway,tertiary
27294255,name,Rua Alzira Vargas
27294259,created_by,Potlatch 0.10b
27294259,highway,residential
27294259,name,Rua Padre Gabriel
27294261,highway,tertiary
27294261,name,Avenida Bispo Dom Mamede
27294263,created_by,Potlatch 0.10b
27294263,highway,residential
27294263,name,Rua Visconde Nelson
27294275,highway,residential
27294275,name,Rua Cardeal Arcoverde
27294294,highway,residential
27294294,name,Rua Marcelino Lima
27294295,highway,residential
27294295,lanes,1
27294295,name,Rua General Adolfo Ferreira
27294295,oneway,no
27294295,surface,concrete
27294326,highway,residential
27294326,lanes,1
27294326,name,Rua General Cadorna
27294326,oneway,no
27294326,surface,asphalt
27294331,highway,secondary
27294331,name,Avenida Cardeal Sebastião Leme
27294331,oneway,no
